,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-122,1987,3.0,9,0,0,2,0,7.9,0.42,-1.1,-0.36,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,0.33,13.2,Matches
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-076,1995,0.2,0,0,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,Matches
3,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-215,1992,28.0,29,4,1,4,0,33.4,0.32,+4.4,+0.16,104,222,46.8,819,131,21.6,30.1,141,31.9,35.1,170,14,8.2,40,1.43,18.9,Matches
4,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-164,1993,9.0,23,1,1,2,1,16.2,0.29,-5.8,-0.65,58,163,35.6,235,50,49.8,39.4,76,60.5,44.3,80,4,5.0,9,1.00,15.2,Matches
5,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-023,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,Matches
6,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-317,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3,Matches
7,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-067,1993,33.0,42,6,0,3,1,48.5,0.32,+7.5,+0.23,164,404,40.6,662,139,40.2,34.8,231,59.7,44.2,311,32,10.3,16,0.48,13.3,Matches
8,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-214,1994,5.0,6,0,0,0,0,5.6,0.28,-0.4,-0.07,33,69,47.8,152,31,33.6,31.6,40,45.0,36.4,37,5,13.5,2,0.40,15.6,Matches
9,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-311,1989,33.0,37,5,0,4,2,31.0,0.25,-3.0,-0.09,187,426,43.9,942,174,32.0,34.0,258,48.4,42.3,397,41,10.3,16,0.48,13.4,Matches
