 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-334,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-242,1990,19.7,2,0,0,11,4,3,34,34,19,0,0,0,180,10,11,47.6,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-214,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-212,1987,30.0,4,0,0,37,20,0,0,51,42,0,0,0,268,88,47,65.2,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-352,1999,0.6,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0.0,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-265,1992,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-086,1993,28.9,5,0,0,37,33,0,15,43,98,1,0,0,277,7,18,28.0,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-016,2000,9.0,1,0,0,16,8,7,4,6,3,0,0,0,38,35,54,39.3,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-031,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-226,1995,12.0,1,0,0,7,7,1,1,25,9,0,0,0,111,52,11,82.5,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-287,1986,13.6,5,1,1,11,8,1,8,15,13,0,0,0,176,39,26,60.0,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-208,1997,11.4,0,0,0,21,12,5,4,2,3,1,0,0,46,38,27,58.5,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-032,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-030,1994,4.7,2,0,0,8,11,1,7,4,6,0,0,0,48,0,9,0.0,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-077,1988,28.3,5,0,0,25,21,2,23,56,35,0,0,0,342,68,20,77.3,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-274,1998,0.9,0,0,0,4,1,1,0,0,0,0,0,0,6,12,3,80.0,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-182,1991,22.5,4,0,0,39,28,1,67,22,43,0,2,0,196,18,29,38.3,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-289,1996,25.3,1,0,0,24,46,18,10,7,15,0,0,0,100,37,117,24.0,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-073,1999,20.6,3,0,0,29,29,2,12,31,31,0,0,0,227,25,19,56.8,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-340,1993,2.9,0,0,0,3,7,1,3,4,2,0,0,0,14,4,11,26.7,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-216,1997,28.0,1,0,0,13,4,2,3,42,21,0,1,1,240,84,35,70.6,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-073,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-273,2000,23.0,6,0,0,34,30,0,29,33,54,0,0,0,184,23,22,51.1,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-082,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-115,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-353,1996,14.3,1,0,0,20,19,1,18,31,12,0,0,0,96,13,20,39.4,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-078,2002,8.1,2,0,0,15,8,0,0,14,11,0,0,0,96,10,6,62.5,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-213,1999,7.7,0,0,0,5,25,1,10,20,15,0,0,0,65,12,14,46.2,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-165,1998,12.9,3,0,0,17,25,2,7,4,22,0,0,0,54,17,33,34.0,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-029,1996,31.0,4,0,0,18,29,2,0,33,33,0,0,0,298,116,49,70.3,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,32-330,1988,4.2,0,0,0,2,6,1,1,4,0,0,0,0,13,2,5,28.6,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28-002,1993,22.8,6,0,0,37,33,1,97,32,42,1,0,0,236,49,34,59.0,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-030,2002,2.4,1,1,0,4,9,0,1,4,1,0,0,0,21,1,2,33.3,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-300,1999,9.0,0,0,0,14,14,1,4,4,17,0,1,0,61,5,11,31.3,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-036,2000,1.3,0,0,0,2,1,3,0,1,2,0,0,0,4,1,5,16.7,Matches
